bird (any),chuan
bird egg,chuan ghró'
bird feather,chuan tró'
bird nest,chuan t'o
bird wing,chuan t'é'
blackbird,tetl'rua
bluebird,chuan denintl'run
camp robber,ts'ónk'e
crane,dya
duck (any),"tyat, chat"
canvasback,ndaak ttho,,
gadwall,tlin tsén sro,,
goldeneye,tthék'í',,
"grebe, eared",dát utthí' dettho,,
"grebe, horned",dát zra,,
"grebe, red-neck",dát cho,,
harlequin,tagéa hutyát,,
mallard,nát'ak,,
merganser,tyok tyát,,
old squaw,ah'alé',,
pintail,dzendyó',,
scuap,tyat tthí' denintl'run
"scoter, common",tyat denét'ro
"scoter, surf",tthetsáán' áw'
"scoter, white-wing ",ndáw'
shoveler,datak
teal,tyat jaada
widgeon,shashin
"eagle, bald",ge saya; túnde
"eagle, golden",thak
flycatcher,chuan dettho
goldfinch (?),dzuan ttho zra
"goose, snow",khe
"goose, white-tronted",tádhák
"grouse, blue",di cho
"grouse, ruffer",intrá'; inták
"grouse, spruce",di; dan dí'
"grouse, willow",intth'ún'
gull,méhk'én'; mék'én'
"gull, Bonaparte's",méhk'én' utthí'
?? ,denét'ro
hawk,únzi
kingfisher,téch'áw'
"loon, Arctic",tth'émbí'
"loon, common",tútsay
"loon, red-neck",tuch'aat
magpie,ts'ónk'e zayn
osprey,t'o ts'yá'
"owl, great grey",etthédzaat; etthélí'
"owl, great horned",méddhin
"owl, small grey",nédé' ts'é'yaana
"owl, snowy",nédé; náhdé'
phalarope,degay undáya
pine grosbeak,tagok ndoa
ptarmigan,tthet'o dzyawa
raven,ts'ek'
redpoll,damba
robin,tútsi
sandpiper,tadrua
shrike,dzech'un; dzéhch'un
snipe (?),tach'aat
sparrow,gun chuan
Stellar's jay,tet'oka
"swallow, barn",tthaw ninzyaana
"swallow, cliff",tetlok zyawa
swan,degay; tagok
warbler,chuan detthoa
winter birds,ts'ágaan; huk'a dlína
woodcock (?),yadhok
woodpecker,tso esháwa
"woodpecker, 3-toe",etsána
unidentified bird (#1),inlyát
unidentified bird (#2),dzak damba