bird (any) ,chuan,Noun,birds,Noun Dictionary (Ritter),,,,,,
bird egg,chuan ghróʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
bird feather,chuan tróʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
bird nest,chuan tʼo,Noun,birds,Noun Dictionary (Ritter),,,,,,
bird wing ,chuan tʼéʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
blackbird,tetlʼrua,Noun,birds,Noun Dictionary (Ritter),,,,,,
bluebird,chuan denintlʼrun,Noun,birds,Noun Dictionary (Ritter),,,,,,
camp robber,tsʼónkʼe,Noun,birds,Noun Dictionary (Ritter),,,,,,
crane,dya,Noun,birds,Noun Dictionary (Ritter),,,,,,
duck (any),tyat,Noun,birds,Noun Dictionary (Ritter),,,,,,
duck (any),chat,Noun,birds,Noun Dictionary (Ritter),SJ,duck.wav,Jän chä́t chʼi - This is a duck,This_is_a_duck_Rachel _Tom_Tom.wav,duck,tyat
canvasback,ndaak ttho,Noun,birds,Noun Dictionary (Ritter),,,,,,
gadwall,tlin tsén sro,Noun,birds,Noun Dictionary (Ritter),,,,,,
goldeneye,tthékʼíʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
grebe (eared),dát utthíʼ dettho,Noun,birds,Noun Dictionary (Ritter),,,,,,
grebe (horned),dát zra,Noun,birds,Noun Dictionary (Ritter),,,,,,
grebe (red-neck),dát cho,Noun,birds,Noun Dictionary (Ritter),,,,,,
harlequin,tagéa hutyát,Noun,birds,Noun Dictionary (Ritter),,,,,,
mallard,nátʼak,Noun,birds,Noun Dictionary (Ritter),,,,,,
merganser,łyok tyát,Noun,birds,Noun Dictionary (Ritter),,,,,,
long-tailed duck,ahʼaléʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
pintail,dzendyóʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
scaup,łyat tthíʼ denintlʼrun,Noun,birds,Noun Dictionary (Ritter),,,,,,
scoter (common),łyat denétʼro,Noun,birds,Noun Dictionary (Ritter),,,,,,
scoter (surf),tthetsáánʼ áwʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
scoter (white-wing),ndáwʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
shoveler,dałak,Noun,birds,Noun Dictionary (Ritter),,,,,,
teal ,łyat jaada,Noun,birds,Noun Dictionary (Ritter),,,,,,
widgeon,shashin,Noun,birds,Noun Dictionary (Ritter),,,,,,
eagle (bald),ge saya,Noun,birds,Noun Dictionary (Ritter),,,,,,
eagle (bald),túnde,Noun,birds,Noun Dictionary (Ritter),,,,,,
eagle (golden),thak,Noun,birds,Noun Dictionary (Ritter),,,,,,
flycatcher,chuan dettho,Noun,birds,Noun Dictionary (Ritter),,,,,,
goldfinch (?),dzuan ttho zra,Noun,birds,Noun Dictionary (Ritter),,,,,,
goose (any?),khe,Noun,birds,Noun Dictionary (Ritter),,,,,,
goose (snow),khe gay,Noun,birds,Noun Dictionary (Ritter),,,,,,
goose (white-fronted),tádhák,Noun,birds,Noun Dictionary (Ritter),,,,,,
grouse (blue),di cho ,Noun,birds,Noun Dictionary (Ritter),,,,,,
grouse (ruffer),intráʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
grouse (ruffer),inták,Noun,birds,Noun Dictionary (Ritter),,,,,,
grouse (spruce),di,Noun,birds,Noun Dictionary (Ritter),,,,,,
grouse (spruce),dan dí,Noun,birds,Noun Dictionary (Ritter),,,,,,
grouse (willow) ,intthʼúnʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
gull (any?),méhkʼénʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
gull (any?),mékʼénʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
gull (Bonaparteʼs),méhkʼénʼ utthíʼ denétʼro,Noun,birds,Noun Dictionary (Ritter),,,,,,
hawk,únzi,Noun,birds,Noun Dictionary (Ritter),,,,,,
kingfisher,téchʼáwʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
loon (Arctic) ,tthʼémbíʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
loon (common),tútsay,Noun,birds,Noun Dictionary (Ritter),,,,,,
loon (red-neck),tuchʼaat,Noun,birds,Noun Dictionary (Ritter),,,,,,
magpie,tsʼónkʼe zayn,Noun,birds,Noun Dictionary (Ritter),,,,,,
osprey,tʼo tsʼyáʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (great grey),etthédzaat,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (geat grey),etthélíʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (great horned),méddhin,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (small grey),nédéʼ tsʼéʼyaana,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (snowy),nédéʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
owl (snowy),náhdéʼ,Noun,birds,Noun Dictionary (Ritter),,,,,,
phalarope,degay undáya,Noun,birds,Noun Dictionary (Ritter),,,,,,
phalarope,tagok ndoa,Noun,birds,Noun Dictionary (Ritter),,,,,,
pine grosbeak ,tthetʼo dzyawa,Noun,birds,Noun Dictionary (Ritter),,,,,,
ptarmigan,kʼambe,Noun,birds,Noun Dictionary (Ritter),,,,,,
raven,tsʼekʼi,Noun,birds,Noun Dictionary (Ritter),,,,,,
redpoll,damba,Noun,birds,Noun Dictionary (Ritter),,,,,,
robin,tútsi,Noun,birds,Noun Dictionary (Ritter),,,,,,
sandpiper,tadrua,Noun,birds,Noun Dictionary (Ritter),,,,,,
shrike,dzechʼun,Noun,birds,Noun Dictionary (Ritter),,,,,,
shrike,dzéhchʼun,Noun,birds,Noun Dictionary (Ritter),,,,,,
snipe (?),tachʼaat,Noun,birds,Noun Dictionary (Ritter),,,,,,
sparrow,gun chuan,Noun,birds,Noun Dictionary (Ritter),,,,,,
Stellarʼs jay,tetʼoka,Noun,birds,Noun Dictionary (Ritter),,,,,,
swallow (barn),tthaw ninzyaana,Noun,birds,Noun Dictionary (Ritter),,,,,,
swallow (cliff),tetlok zyawa,Noun,birds,Noun Dictionary (Ritter),,,,,,
swan,degay,Noun,birds,Noun Dictionary (Ritter),,,,,,
swan,tagok,Noun,birds,Noun Dictionary (Ritter),,,,,,
warbler,chuan detthoa,Noun,birds,Noun Dictionary (Ritter),,,,,,
winter birds ,tsʼágaan,Noun,birds,Noun Dictionary (Ritter),,,,,,
winter birds ,hukʼa dlína,Noun,birds,Noun Dictionary (Ritter),,,,,,
woodcock (?),yadhok,Noun,birds,Noun Dictionary (Ritter),,,,,,
woodpecker,tso esháwa,Noun,birds,Noun Dictionary (Ritter),,,,,,
woodpecker (3-toe),etsána,Noun,birds,Noun Dictionary (Ritter),,,,,,
unidentified bird,inlyát,Noun,birds,Noun Dictionary (Ritter),,,,,,
unidentified bird,dzak damba,Noun,birds,Noun Dictionary (Ritter),,,,,,
man's body,dan nezhan,Noun,body parts,Noun Dictionary (Ritter),,,,,,
man's body,dan ,Noun,body parts,Noun Dictionary (Ritter),,,,,,
left side,tl'o ts'an,Noun,body parts,Noun Dictionary (Ritter),,,,,,
right side,sók ts'an,Noun,body parts,Noun Dictionary (Ritter),,,,,,
man's mind,dan yí,Noun,non-material,Noun Dictionary (Ritter),,,,,,
strong mind,strong mind,Noun,non-material,Noun Dictionary (Ritter),,,,,,
weak mind,weak mind,Noun,non-material,Noun Dictionary (Ritter),,,,,,
